Date	Price	Open	High	Low	Change %
10-Mar-14	615	621	621	612.84	-0.97
9-Mar-14	621	610.48	621	609.37	1.12
8-Mar-14	614.14	621	621	600.25	-1.11
7-Mar-14	621	663	663	614	-6.33
6-Mar-14	663	673.44	675	657	-1.78
5-Mar-14	675	658	675.8	658	1.05
4-Mar-14	668	654.72	675	652.62	1.52
3-Mar-14	658	571.5	685	569.74	17.37
2-Mar-14	560.62	570.9	583.49	560	-1.34
1-Mar-14	568.21	565	571.77	560	0.57
28-Feb-14	565	575.48	590.3	544.89	-2.42
27-Feb-14	579	592.53	592.53	565.72	-0.52
26-Feb-14	582	548.67	594.47	544	13.01
25-Feb-14	515	554	567	425	-8.43
24-Feb-14	562.43	597.27	597.27	562.43	-9.14
23-Feb-14	619	597.73	624.05	597.73	4
22-Feb-14	595.22	587.61	602.77	563.74	4.79
21-Feb-14	568	565.2	591.5	548.51	-1.88
20-Feb-14	578.88	633	633	574.81	-8.17
19-Feb-14	630.41	634.18	637.99	628	0.38
18-Feb-14	628	660	660	622	-5.4
17-Feb-14	663.85	626	663.85	626	9.19
16-Feb-14	608	650	650	608	-6.95
15-Feb-14	653.38	652.89	655.69	650	-4.2
14-Feb-14	682	622	724	565.2	7.53
13-Feb-14	634.26	671.94	671.94	630	-7.41
12-Feb-14	685	691.13	691.13	650	3.97
11-Feb-14	658.87	739	761.66	653.26	-6.72
10-Feb-14	706.32	720	739	642	-0.52
9-Feb-14	710	702.59	720	702.59	2.9
8-Feb-14	690	700	716.45	690	-4.17
7-Feb-14	720	750.27	755.05	677	-6.68
6-Feb-14	771.55	793	793	768	-2.46
5-Feb-14	791	807	808	791	-2.71
4-Feb-14	813	810.8	813.23	808.27	0.37
3-Feb-14	810	806.78	814.12	801.67	-0.57
1-Feb-14	814.65	801.93	814.65	801.93	1.83
31-Jan-14	800	801.67	803.29	791.8	-0.49
30-Jan-14	803.95	794.37	803.95	785.37	0.49
29-Jan-14	800	788.99	800	783.57	0.63
28-Jan-14	795	779.78	812.04	770	4.57
27-Jan-14	760.29	810.94	810.94	757	-6.1
26-Jan-14	809.65	804.18	823.92	731	-0.04
25-Jan-14	810	795.83	810	789.44	3.6
24-Jan-14	781.87	800	800	773.18	-4.21
23-Jan-14	816.21	819	820	804.28	1.14
22-Jan-14	807	807	807	807	-0.37
21-Jan-14	810	810	824.72	794.21	-1.62
20-Jan-14	823.35	831.01	831.01	795.23	-0.8
19-Jan-14	830	819	830	814.23	3.75
18-Jan-14	800	810	815	799	1.39
17-Jan-14	789	820	820.69	789	-4.25
